event_id,observed_at,low_usd
17385144,2026-05-08T20:19:43.178923+00:00,1127
17213261,2026-05-08T20:19:43.178923+00:00,459
17269673,2026-05-08T20:19:43.178923+00:00,510
17171559,2026-05-08T20:19:43.178923+00:00,195
17307558,2026-05-08T20:19:43.178923+00:00,744
17307504,2026-05-08T20:19:43.178923+00:00,793
17234770,2026-05-08T20:19:43.178923+00:00,573
17650353,2026-05-08T20:19:43.178923+00:00,621
17248697,2026-05-08T20:19:43.178923+00:00,197
17249641,2026-05-08T20:19:43.178923+00:00,672
17174343,2026-05-08T20:19:43.178923+00:00,284
17164016,2026-05-08T20:19:43.178923+00:00,1868
17650336,2026-05-08T20:19:43.178923+00:00,1294
17650347,2026-05-08T20:19:43.178923+00:00,250
17269674,2026-05-08T20:19:43.178923+00:00,1114
17213262,2026-05-08T20:19:43.178923+00:00,242
17385145,2026-05-08T20:19:43.178923+00:00,360
17196235,2026-05-08T20:19:43.178923+00:00,302
17176207,2026-05-08T20:19:43.178923+00:00,733
17171560,2026-05-08T20:19:43.178923+00:00,256
17307506,2026-05-08T20:19:43.178923+00:00,929
17234771,2026-05-08T20:19:43.178923+00:00,374
17307560,2026-05-08T20:19:43.178923+00:00,162
17650358,2026-05-08T20:19:43.178923+00:00,1376
17248698,2026-05-08T20:19:43.178923+00:00,240
17249643,2026-05-08T20:19:43.178923+00:00,291
17269675,2026-05-08T20:19:43.178923+00:00,884
17213263,2026-05-08T20:19:43.178923+00:00,512
17385146,2026-05-08T20:19:43.178923+00:00,881
17196236,2026-05-08T20:19:43.178923+00:00,184
17176208,2026-05-08T20:19:43.178923+00:00,626
17307564,2026-05-08T20:19:43.178923+00:00,719
17650348,2026-05-08T20:19:43.178923+00:00,566
17385147,2026-05-08T20:19:43.178923+00:00,517
17269676,2026-05-08T20:19:43.178923+00:00,667
17650334,2026-05-08T20:19:43.178923+00:00,1215
17174345,2026-05-08T20:19:43.178923+00:00,561
17248699,2026-05-08T20:19:43.178923+00:00,433
17171561,2026-05-08T20:19:43.178923+00:00,730
17176209,2026-05-08T20:19:43.178923+00:00,842
17234772,2026-05-08T20:19:43.178923+00:00,783
17249644,2026-05-08T20:19:43.178923+00:00,557
17385148,2026-05-08T20:19:43.178923+00:00,564
17164018,2026-05-08T20:19:43.178923+00:00,1951
17307566,2026-05-08T20:19:43.178923+00:00,696
17213264,2026-05-08T20:19:43.178923+00:00,1051
17269677,2026-05-08T20:19:43.178923+00:00,1093
17650335,2026-05-08T20:19:43.178923+00:00,1420
17385149,2026-05-08T20:19:43.178923+00:00,932
17248700,2026-05-08T20:19:43.178923+00:00,682
17174346,2026-05-08T20:19:43.178923+00:00,877
17249646,2026-05-08T20:19:43.178923+00:00,959
17307570,2026-05-08T20:19:43.178923+00:00,1442
17176210,2026-05-08T20:19:43.178923+00:00,1722
17164019,2026-05-08T20:19:43.178923+00:00,1911
17196238,2026-05-08T20:19:43.178923+00:00,1482
17385150,2026-05-08T20:19:43.178923+00:00,2680
17174347,2026-05-08T20:19:43.178923+00:00,2443
17164020,2026-05-08T20:19:43.178923+00:00,995
17307574,2026-05-08T20:19:43.178923+00:00,9337
17174344,2026-05-08T20:19:43.178923+00:00,209
17307562,2026-05-08T20:19:43.178923+00:00,589
17196237,2026-05-08T20:19:43.178923+00:00,595
17164017,2026-05-08T20:19:43.178923+00:00,2898
17650338,2026-05-08T21:57:23.129023+00:00,2260
17650349,2026-05-08T21:57:23.129023+00:00,377
17234767,2026-05-08T21:57:23.129023+00:00,1171
17176203,2026-05-08T21:57:23.129023+00:00,1134
17171556,2026-05-08T21:57:23.129023+00:00,264
17269669,2026-05-08T21:57:23.129023+00:00,1508
17307864,2026-05-08T21:57:23.129023+00:00,675
17249637,2026-05-08T21:57:23.129023+00:00,320
17307552,2026-05-08T21:57:23.129023+00:00,429
17385143,2026-05-08T21:57:23.129023+00:00,783
17213259,2026-05-08T21:57:23.129023+00:00,751
17650339,2026-05-08T21:57:23.129023+00:00,312
17174340,2026-05-08T21:57:23.129023+00:00,493
17248695,2026-05-08T21:57:23.129023+00:00,573
17176204,2026-05-08T21:57:23.129023+00:00,305
17164014,2026-05-08T21:57:23.129023+00:00,389
17269672,2026-05-08T21:57:23.129023+00:00,810
17307866,2026-05-08T21:57:23.129023+00:00,282
17196233,2026-05-08T21:57:23.129023+00:00,850
17171557,2026-05-08T21:57:23.129023+00:00,185
17307554,2026-05-08T21:57:23.129023+00:00,697
17385142,2026-05-08T21:57:23.129023+00:00,1085
17234768,2026-05-08T21:57:23.129023+00:00,490
17650337,2026-05-08T21:57:23.129023+00:00,827
17174341,2026-05-08T21:57:23.129023+00:00,238
17176205,2026-05-08T21:57:23.129023+00:00,347
17249638,2026-05-08T21:57:23.129023+00:00,619
17650350,2026-05-08T21:57:23.129023+00:00,2902
17248696,2026-05-08T21:57:23.129023+00:00,1103
17307502,2026-05-08T21:57:23.129023+00:00,814
17213260,2026-05-08T21:57:23.129023+00:00,1039
17171558,2026-05-08T21:57:23.129023+00:00,273
17307556,2026-05-08T21:57:23.129023+00:00,497
17234769,2026-05-08T21:57:23.129023+00:00,735
17196234,2026-05-08T21:57:23.129023+00:00,335
17650346,2026-05-08T21:57:23.129023+00:00,352
17174342,2026-05-08T21:57:23.129023+00:00,554
17176206,2026-05-08T21:57:23.129023+00:00,350
17164015,2026-05-08T21:57:23.129023+00:00,268
17249640,2026-05-08T21:57:23.129023+00:00,217
17385144,2026-05-08T21:57:23.129023+00:00,1151
17213261,2026-05-08T21:57:23.129023+00:00,466
17269673,2026-05-08T21:57:23.129023+00:00,517
17171559,2026-05-08T21:57:23.129023+00:00,193
17307558,2026-05-08T21:57:23.129023+00:00,777
17307504,2026-05-08T21:57:23.129023+00:00,825
17234770,2026-05-08T21:57:23.129023+00:00,588
17650353,2026-05-08T21:57:23.129023+00:00,631
17248697,2026-05-08T21:57:23.129023+00:00,200
17249641,2026-05-08T21:57:23.129023+00:00,702
17174343,2026-05-08T21:57:23.129023+00:00,281
17164016,2026-05-08T21:57:23.129023+00:00,1889
17650336,2026-05-08T21:57:23.129023+00:00,1309
17650347,2026-05-08T21:57:23.129023+00:00,255
17269674,2026-05-08T21:57:23.129023+00:00,1121
17213262,2026-05-08T21:57:23.129023+00:00,238
17385145,2026-05-08T21:57:23.129023+00:00,357
17196235,2026-05-08T21:57:23.129023+00:00,305
17176207,2026-05-08T21:57:23.129023+00:00,765
17171560,2026-05-08T21:57:23.129023+00:00,261
17307506,2026-05-08T21:57:23.129023+00:00,911
17234771,2026-05-08T21:57:23.129023+00:00,390
17307560,2026-05-08T21:57:23.129023+00:00,166
17650358,2026-05-08T21:57:23.129023+00:00,1357
17248698,2026-05-08T21:57:23.129023+00:00,250
17249643,2026-05-08T21:57:23.129023+00:00,289
17269675,2026-05-08T21:57:23.129023+00:00,904
17213263,2026-05-08T21:57:23.129023+00:00,523
17385146,2026-05-08T21:57:23.129023+00:00,866
17196236,2026-05-08T21:57:23.129023+00:00,182
17176208,2026-05-08T21:57:23.129023+00:00,626
17307564,2026-05-08T21:57:23.129023+00:00,733
17650348,2026-05-08T21:57:23.129023+00:00,568
17385147,2026-05-08T21:57:23.129023+00:00,522
17269676,2026-05-08T21:57:23.129023+00:00,695
17650334,2026-05-08T21:57:23.129023+00:00,1255
17174345,2026-05-08T21:57:23.129023+00:00,553
17248699,2026-05-08T21:57:23.129023+00:00,428
17171561,2026-05-08T21:57:23.129023+00:00,741
17176209,2026-05-08T21:57:23.129023+00:00,881
17234772,2026-05-08T21:57:23.129023+00:00,821
17249644,2026-05-08T21:57:23.129023+00:00,558
17385148,2026-05-08T21:57:23.129023+00:00,589
