vivid_event_id,observed_at,low_price_usd
25248697,2026-05-08T21:57:23.129023+00:00,195
25248697,2026-05-08T22:57:08.778316+00:00,204
25248697,2026-05-08T23:57:10.868782+00:00,229
25249641,2026-05-08T20:19:43.178923+00:00,652
25249641,2026-05-08T21:57:23.129023+00:00,734
25249641,2026-05-08T22:57:08.778316+00:00,698
25249641,2026-05-08T23:57:10.868782+00:00,717
25174343,2026-05-08T20:19:43.178923+00:00,288
25174343,2026-05-08T21:57:23.129023+00:00,276
25174343,2026-05-08T22:57:08.778316+00:00,286
25174343,2026-05-08T23:57:10.868782+00:00,281
25164016,2026-05-08T20:19:43.178923+00:00,1831
25164016,2026-05-08T21:57:23.129023+00:00,1949
25164016,2026-05-08T22:57:08.778316+00:00,1979
25164016,2026-05-08T23:57:10.868782+00:00,2031
25650336,2026-05-08T20:19:43.178923+00:00,1242
25650336,2026-05-08T21:57:23.129023+00:00,1345
25650336,2026-05-08T22:57:08.778316+00:00,1332
25650336,2026-05-08T23:57:10.868782+00:00,1383
25650347,2026-05-08T20:19:43.178923+00:00,259
25650347,2026-05-08T21:57:23.129023+00:00,244
25650347,2026-05-08T22:57:08.778316+00:00,277
25650347,2026-05-08T23:57:10.868782+00:00,264
25269674,2026-05-08T20:19:43.178923+00:00,1167
25269674,2026-05-08T21:57:23.129023+00:00,1079
25269674,2026-05-08T22:57:08.778316+00:00,1099
25269674,2026-05-08T23:57:10.868782+00:00,1220
25213262,2026-05-08T20:19:43.178923+00:00,247
25213262,2026-05-08T21:57:23.129023+00:00,226
25213262,2026-05-08T22:57:08.778316+00:00,237
25213262,2026-05-08T23:57:10.868782+00:00,248
25385145,2026-05-08T20:19:43.178923+00:00,364
25385145,2026-05-08T21:57:23.129023+00:00,358
25385145,2026-05-08T22:57:08.778316+00:00,382
25385145,2026-05-08T23:57:10.868782+00:00,349
25196235,2026-05-08T20:19:43.178923+00:00,305
25196235,2026-05-08T21:57:23.129023+00:00,312
25196235,2026-05-08T22:57:08.778316+00:00,305
25196235,2026-05-08T23:57:10.868782+00:00,303
25176207,2026-05-08T20:19:43.178923+00:00,752
25176207,2026-05-08T21:57:23.129023+00:00,734
25176207,2026-05-08T22:57:08.778316+00:00,766
25176207,2026-05-08T23:57:10.868782+00:00,798
25171560,2026-05-08T20:19:43.178923+00:00,244
25171560,2026-05-08T21:57:23.129023+00:00,259
25171560,2026-05-08T22:57:08.778316+00:00,278
25171560,2026-05-08T23:57:10.868782+00:00,272
25307506,2026-05-08T20:19:43.178923+00:00,909
25307506,2026-05-08T21:57:23.129023+00:00,890
25307506,2026-05-08T22:57:08.778316+00:00,913
25307506,2026-05-08T23:57:10.868782+00:00,941
25234771,2026-05-08T20:19:43.178923+00:00,384
25234771,2026-05-08T21:57:23.129023+00:00,390
25234771,2026-05-08T22:57:08.778316+00:00,393
25234771,2026-05-08T23:57:10.868782+00:00,385
25307560,2026-05-08T20:19:43.178923+00:00,168
25307560,2026-05-08T21:57:23.129023+00:00,161
25307560,2026-05-08T22:57:08.778316+00:00,161
25307560,2026-05-08T23:57:10.868782+00:00,165
25650358,2026-05-08T20:19:43.178923+00:00,1431
25650358,2026-05-08T21:57:23.129023+00:00,1301
25650358,2026-05-08T22:57:08.778316+00:00,1393
25650358,2026-05-08T23:57:10.868782+00:00,1380
25248698,2026-05-08T20:19:43.178923+00:00,248
25248698,2026-05-08T21:57:23.129023+00:00,248
25248698,2026-05-08T22:57:08.778316+00:00,248
25248698,2026-05-08T23:57:10.868782+00:00,267
25249643,2026-05-08T20:19:43.178923+00:00,293
25249643,2026-05-08T21:57:23.129023+00:00,289
25249643,2026-05-08T22:57:08.778316+00:00,302
25249643,2026-05-08T23:57:10.868782+00:00,299
25269675,2026-05-08T20:19:43.178923+00:00,909
25269675,2026-05-08T21:57:23.129023+00:00,925
25269675,2026-05-08T22:57:08.778316+00:00,917
25269675,2026-05-08T23:57:10.868782+00:00,942
25213263,2026-05-08T20:19:43.178923+00:00,530
25213263,2026-05-08T21:57:23.129023+00:00,504
25213263,2026-05-08T22:57:08.778316+00:00,524
25213263,2026-05-08T23:57:10.868782+00:00,536
25385146,2026-05-08T20:19:43.178923+00:00,870
25385146,2026-05-08T21:57:23.129023+00:00,836
25385146,2026-05-08T22:57:08.778316+00:00,882
25385146,2026-05-08T23:57:10.868782+00:00,934
25196236,2026-05-08T20:19:43.178923+00:00,190
25196236,2026-05-08T21:57:23.129023+00:00,178
25196236,2026-05-08T22:57:08.778316+00:00,191
25196236,2026-05-08T23:57:10.868782+00:00,197
25176208,2026-05-08T20:19:43.178923+00:00,595
25176208,2026-05-08T21:57:23.129023+00:00,627
25176208,2026-05-08T22:57:08.778316+00:00,664
25176208,2026-05-08T23:57:10.868782+00:00,654
25307564,2026-05-08T20:19:43.178923+00:00,745
25307564,2026-05-08T21:57:23.129023+00:00,765
25307564,2026-05-08T22:57:08.778316+00:00,754
25307564,2026-05-08T23:57:10.868782+00:00,782
25650348,2026-05-08T20:19:43.178923+00:00,566
25650348,2026-05-08T21:57:23.129023+00:00,570
25650348,2026-05-08T22:57:08.778316+00:00,585
25650348,2026-05-08T23:57:10.868782+00:00,635
25385147,2026-05-08T20:19:43.178923+00:00,502
25385147,2026-05-08T21:57:23.129023+00:00,502
25385147,2026-05-08T22:57:08.778316+00:00,535
25385147,2026-05-08T23:57:10.868782+00:00,530
25269676,2026-05-08T20:19:43.178923+00:00,696
25269676,2026-05-08T21:57:23.129023+00:00,665
25269676,2026-05-08T22:57:08.778316+00:00,696
25269676,2026-05-08T23:57:10.868782+00:00,700
25650334,2026-05-08T20:19:43.178923+00:00,1176
25650334,2026-05-08T21:57:23.129023+00:00,1264
25650334,2026-05-08T22:57:08.778316+00:00,1312
25650334,2026-05-08T23:57:10.868782+00:00,1300
25174345,2026-05-08T20:19:43.178923+00:00,577
25174345,2026-05-08T21:57:23.129023+00:00,546
25174345,2026-05-08T22:57:08.778316+00:00,569
25174345,2026-05-08T23:57:10.868782+00:00,546
25248699,2026-05-08T20:19:43.178923+00:00,417
25248699,2026-05-08T21:57:23.129023+00:00,412
25248699,2026-05-08T22:57:08.778316+00:00,466
25248699,2026-05-08T23:57:10.868782+00:00,471
25171561,2026-05-08T20:19:43.178923+00:00,709
25171561,2026-05-08T21:57:23.129023+00:00,776
25171561,2026-05-08T22:57:08.778316+00:00,749
25171561,2026-05-08T23:57:10.868782+00:00,709
25176209,2026-05-08T20:19:43.178923+00:00,867
25176209,2026-05-08T21:57:23.129023+00:00,906
25176209,2026-05-08T22:57:08.778316+00:00,904
25176209,2026-05-08T23:57:10.868782+00:00,879
25234772,2026-05-08T20:19:43.178923+00:00,769
25234772,2026-05-08T21:57:23.129023+00:00,787
25234772,2026-05-08T22:57:08.778316+00:00,795
25234772,2026-05-08T23:57:10.868782+00:00,833
25249644,2026-05-08T20:19:43.178923+00:00,564
25249644,2026-05-08T21:57:23.129023+00:00,583
25249644,2026-05-08T22:57:08.778316+00:00,579
25249644,2026-05-08T23:57:10.868782+00:00,602
25385148,2026-05-08T20:19:43.178923+00:00,553
25385148,2026-05-08T21:57:23.129023+00:00,614
25385148,2026-05-08T22:57:08.778316+00:00,609
25385148,2026-05-08T23:57:10.868782+00:00,616
25164018,2026-05-08T20:19:43.178923+00:00,1932
25164018,2026-05-08T21:57:23.129023+00:00,2081
25164018,2026-05-08T22:57:08.778316+00:00,1991
25164018,2026-05-08T23:57:10.868782+00:00,2067
25307566,2026-05-08T20:19:43.178923+00:00,674
25307566,2026-05-08T21:57:23.129023+00:00,740
25307566,2026-05-08T22:57:08.778316+00:00,711
25307566,2026-05-08T23:57:10.868782+00:00,741
25213264,2026-05-08T20:19:43.178923+00:00,1059
25213264,2026-05-08T21:57:23.129023+00:00,1044
25213264,2026-05-08T22:57:08.778316+00:00,1027
25213264,2026-05-08T23:57:10.868782+00:00,1125
25269677,2026-05-08T20:19:43.178923+00:00,1044
25269677,2026-05-08T21:57:23.129023+00:00,1176
25269677,2026-05-08T22:57:08.778316+00:00,1155
25269677,2026-05-08T23:57:10.868782+00:00,1245
25650335,2026-05-08T20:19:43.178923+00:00,1364
25650335,2026-05-08T21:57:23.129023+00:00,1492
25650335,2026-05-08T22:57:08.778316+00:00,1449
25650335,2026-05-08T23:57:10.868782+00:00,1583
25385149,2026-05-08T20:19:43.178923+00:00,965
25385149,2026-05-08T21:57:23.129023+00:00,905
25385149,2026-05-08T22:57:08.778316+00:00,892
25385149,2026-05-08T23:57:10.868782+00:00,966
