tickpick_event_id,observed_at,low_price_usd
6259548,2026-05-23T22:54:25.124995+00:00,833.0
6259549,2026-05-23T22:54:25.124995+00:00,2115.0
6259550,2026-05-23T22:54:25.124995+00:00,2242.0
6259551,2026-05-23T22:54:25.124995+00:00,1614.0
6259553,2026-05-23T22:54:25.124995+00:00,1796.0
6259555,2026-05-23T22:54:25.124995+00:00,292.0
6259556,2026-05-23T22:54:25.124995+00:00,625.0
6259560,2026-05-23T22:54:25.124995+00:00,557.0
6259561,2026-05-23T22:54:25.124995+00:00,1225.0
6259570,2026-05-23T22:54:25.124995+00:00,891.0
6259571,2026-05-23T22:54:25.124995+00:00,401.0
6259572,2026-05-23T22:54:25.124995+00:00,236.0
6259573,2026-05-23T22:54:25.124995+00:00,450.0
6259574,2026-05-23T22:54:25.124995+00:00,873.0
6259581,2026-05-23T22:54:25.124995+00:00,680.0
6259583,2026-05-23T22:54:25.124995+00:00,439.0
6259584,2026-05-23T22:54:25.124995+00:00,1001.0
6259585,2026-05-23T22:54:25.124995+00:00,708.0
6259586,2026-05-23T22:54:25.124995+00:00,668.0
6259587,2026-05-23T22:54:25.124995+00:00,1003.0
6259588,2026-05-23T22:54:25.124995+00:00,350.0
6259589,2026-05-23T22:54:25.124995+00:00,234.0
6259590,2026-05-23T22:54:25.124995+00:00,424.0
6259591,2026-05-23T22:54:25.124995+00:00,263.0
6259593,2026-05-23T22:54:25.124995+00:00,447.0
6259596,2026-05-23T22:54:25.124995+00:00,758.0
6259599,2026-05-23T22:54:25.124995+00:00,382.0
6259615,2026-05-23T22:54:25.124995+00:00,983.0
6259617,2026-05-23T22:54:25.124995+00:00,208.0
6259618,2026-05-23T22:54:25.124995+00:00,212.0
6259620,2026-05-23T22:54:25.124995+00:00,391.0
6259622,2026-05-23T22:54:25.124995+00:00,700.0
6259623,2026-05-23T22:54:25.124995+00:00,152.0
6259624,2026-05-23T22:54:25.124995+00:00,301.0
6259625,2026-05-23T22:54:25.124995+00:00,158.0
6259627,2026-05-23T22:54:25.124995+00:00,275.0
6259628,2026-05-23T22:54:25.124995+00:00,613.0
6259631,2026-05-23T22:54:25.124995+00:00,263.0
6259633,2026-05-23T22:54:25.124995+00:00,270.0
6259634,2026-05-23T22:54:25.124995+00:00,335.0
6259635,2026-05-23T22:54:25.124995+00:00,667.0
6259636,2026-05-23T22:54:25.124995+00:00,539.0
6259637,2026-05-23T22:54:25.124995+00:00,653.0
6259638,2026-05-23T22:54:25.124995+00:00,1428.0
6259639,2026-05-23T22:54:25.124995+00:00,1391.0
6259640,2026-05-23T22:54:25.124995+00:00,780.0
6259641,2026-05-23T22:54:25.124995+00:00,297.0
6259642,2026-05-23T22:54:25.124995+00:00,312.0
6259644,2026-05-23T22:54:25.124995+00:00,170.0
6259680,2026-05-23T22:54:25.124995+00:00,502.0
6259681,2026-05-23T22:54:25.124995+00:00,840.0
6259682,2026-05-23T22:54:25.124995+00:00,1030.0
6259683,2026-05-23T22:54:25.124995+00:00,444.0
6259684,2026-05-23T22:54:25.124995+00:00,880.0
6259685,2026-05-23T22:54:25.124995+00:00,481.0
6259686,2026-05-23T22:54:25.124995+00:00,446.0
6259714,2026-05-23T22:54:25.124995+00:00,772.0
6259715,2026-05-23T22:54:25.124995+00:00,724.0
6259716,2026-05-23T22:54:25.124995+00:00,498.0
6259717,2026-05-23T22:54:25.124995+00:00,650.0
6259718,2026-05-23T22:54:25.124995+00:00,144.0
6259719,2026-05-23T22:54:25.124995+00:00,695.0
6259720,2026-05-23T22:54:25.124995+00:00,778.0
6259721,2026-05-23T22:54:25.124995+00:00,420.0
6259722,2026-05-23T22:54:25.124995+00:00,308.0
6259723,2026-05-23T22:54:25.124995+00:00,643.0
6259724,2026-05-23T22:54:25.124995+00:00,2201.0
6259725,2026-05-23T22:54:25.124995+00:00,596.0
6259726,2026-05-23T22:54:25.124995+00:00,1317.0
6259727,2026-05-23T22:54:25.124995+00:00,714.0
6259728,2026-05-23T22:54:25.124995+00:00,1279.0
6259729,2026-05-23T22:54:25.124995+00:00,936.0
6259730,2026-05-23T22:54:25.124995+00:00,1103.0
6250040,2026-05-23T23:58:32.134940+00:00,7638.0
6250051,2026-05-23T23:58:32.134940+00:00,862.0
6250092,2026-05-23T23:58:32.134940+00:00,2271.0
6250102,2026-05-23T23:58:32.134940+00:00,318.0
6250103,2026-05-23T23:58:32.134940+00:00,831.0
6250104,2026-05-23T23:58:32.134940+00:00,950.0
6250380,2026-05-23T23:58:32.134940+00:00,550.0
6250383,2026-05-23T23:58:32.134940+00:00,299.0
6250384,2026-05-23T23:58:32.134940+00:00,1100.0
6250385,2026-05-23T23:58:32.134940+00:00,257.0
6250387,2026-05-23T23:58:32.134940+00:00,720.0
6250389,2026-05-23T23:58:32.134940+00:00,455.0
6250390,2026-05-23T23:58:32.134940+00:00,698.0
6250394,2026-05-23T23:58:32.134940+00:00,391.0
6259475,2026-05-23T23:58:32.134940+00:00,336.0
6259476,2026-05-23T23:58:32.134940+00:00,294.0
6259477,2026-05-23T23:58:32.134940+00:00,1584.0
6259478,2026-05-23T23:58:32.134940+00:00,2437.0
6259536,2026-05-23T23:58:32.134940+00:00,430.0
6259537,2026-05-23T23:58:32.134940+00:00,192.0
6259538,2026-05-23T23:58:32.134940+00:00,498.0
